Date : 2025-06-24 23:12:53
Directory : /home/manodeep/projects/iit_bhilai_2025/llm_security/rep
Total : 66 files,  67638 codes, 971 comments, 1230 blanks, all 69839 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src                                                                                                                                                                                            |         12 |        737 |        427 |        596 |      1,760 |
| src (Files)                                                                                                                                                                                    |          2 |         30 |          3 |         26 |         59 |
| src/pipelines                                                                                                                                                                                  |         10 |        707 |        424 |        570 |      1,701 |
| src/pipelines (Files)                                                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/pipelines/execution_pipeline                                                                                                                                                               |          4 |        357 |        223 |        280 |        860 |
| src/pipelines/execution_pipeline (Files)                                                                                                                                                       |          1 |        188 |         28 |        167 |        383 |
| src/pipelines/execution_pipeline/execution_tools                                                                                                                                               |          3 |        169 |        195 |        113 |        477 |
| src/pipelines/exploit_pipeline                                                                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| src/pipelines/extraction_pipeline                                                                                                                                                              |          3 |        350 |        201 |        287 |        838 |
| src/pipelines/extraction_pipeline (Files)                                                                                                                                                      |          1 |        272 |         33 |        251 |        556 |
| src/pipelines/extraction_pipeline/extraction_tools                                                                                                                                             |          2 |         78 |        168 |         36 |        282 |
| src/pipelines/uitls                                                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                       | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXECUTE AGENT.ipynb                                                                                                                   | JSON     |      1,659 |          0 |          1 |      1,660 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/EXPLOIT AGENT.ipynb                                                                                                                   | JSON     |      2,349 |          0 |          1 |      2,350 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/README.md                                                                                                                             | Markdown |          1 |          0 |          1 |          2 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/__init__.py                                                                                                                           | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/actuators.py                                                                                                                          | Python   |          0 |          1 |          4 |          5 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/executable_workflows/Workflow_2.md                                                                                               | Markdown |         21 |          0 |          0 |         21 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_0.md                                                                                           | Markdown |         16 |          0 |          0 |         16 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_1.md                                                                                           | Markdown |          8 |          0 |          0 |          8 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_2.md                                                                                           | Markdown |         21 |          0 |          0 |         21 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_3.md                                                                                           | Markdown |         17 |          0 |          0 |         17 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/data/extracted_task_workflows/Workflow_4.md                                                                                           | Markdown |         11 |          0 |          0 |         11 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/app.py                                                                                                                     | Python   |         92 |          7 |         25 |        124 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/static/style.css                                                                                                           | PostCSS  |         93 |          3 |         18 |        114 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/add_contact.html                                                                                                 | HTML     |         14 |          0 |          7 |         21 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/add_ticket.html                                                                                                  | HTML     |         16 |          0 |          7 |         23 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/contacts.html                                                                                                    | HTML     |         26 |          0 |          5 |         31 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/dashboard.html                                                                                                   | HTML     |         10 |          0 |          3 |         13 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/delete_contact.html                                                                                              | HTML     |         10 |          0 |          4 |         14 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/edit_contact.html                                                                                                | HTML     |         14 |          0 |          7 |         21 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/index.html                                                                                                       | HTML     |          8 |          0 |          4 |         12 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/layout.html                                                                                                      | HTML     |         32 |          0 |          3 |         35 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/search.html                                                                                                      | HTML     |         20 |          0 |          4 |         24 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/settings.html                                                                                                    | HTML     |         12 |          0 |          6 |         18 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/submit.html                                                                                                      | HTML     |          8 |          0 |          1 |          9 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/ticket_detail.html                                                                                               | HTML     |          9 |          0 |          4 |         13 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/templates/tickets.html                                                                                                     | HTML     |         19 |          0 |          4 |         23 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/html_files/test_app.py                                                                                                                | Python   |         92 |          7 |         25 |        124 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/llm_bridge.py                                                                                                                         | Python   |         78 |        191 |         35 |        304 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/adapter_config.json          | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/added_tokens.json            | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/chat_template.json           | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/generation_config.json       | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/model.safetensors.index.json | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/.no_exist/82a37760796d32b1411fe092ab5d4e227313294b/processor_config.json        | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b/config.json                  | JSON     |        169 |          0 |          1 |        170 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b/preprocessor_config.json     | JSON     |         17 |          0 |          1 |         18 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b/special_tokens_map.json      | JSON     |          7 |          0 |          1 |          8 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b/tokenizer.json               | JSON     |     30,672 |          0 |          0 |     30,672 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-base/snapshots/82a37760796d32b1411fe092ab5d4e227313294b/tokenizer_config.json        | JSON     |         21 |          0 |          1 |         22 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41/adapter_config.json         | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41/added_tokens.json           | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41/chat_template.json          | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41/generation_config.json      | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/.no_exist/353689b859fcf0523410b1806dace5fb46ecdf41/processor_config.json       | JSON     |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41/config.json                 | JSON     |        170 |          0 |          1 |        171 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41/preprocessor_config.json    | JSON     |         25 |          0 |          1 |         26 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41/special_tokens_map.json     | JSON     |          7 |          0 |          1 |          8 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41/tokenizer.json              | JSON     |     30,672 |          0 |          0 |     30,672 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/models/models--Salesforce--blip-image-captioning-large/snapshots/353689b859fcf0523410b1806dace5fb46ecdf41/tokenizer_config.json       | JSON     |         21 |          0 |          1 |         22 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/scripts/__init__.py                                                                                                                   | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/__init__.py                                                                                                                       | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/__init__.py                                                                                                             | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/Actuators.py                                                                         | Python   |         88 |         46 |         54 |        188 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/Brain.py                                                                             | Python   |         81 |        149 |         58 |        288 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/execution_tools/__init__.py                                                                          | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/execution_pipeline/task_execution.py                                                                                    | Python   |        188 |         28 |        167 |        383 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/exploit_pipeline/attacker.py                                                                                            | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/extraction_tools/__init__.py                                                                        | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/extraction_tools/llm_bridge.py                                                                      | Python   |         78 |        168 |         35 |        281 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/extraction_pipeline/task_extraction.py                                                                                  | Python   |        272 |         33 |        251 |        556 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/pipelines/uitls/__init__.py                                                                                                       | Python   |          0 |          0 |          1 |          1 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/src/web_scanner.py                                                                                                                    | Python   |         30 |          3 |         25 |         58 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test.py                                                                                                                               | Python   |         28 |          2 |         10 |         40 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test_execute_workflow.py                                                                                                              | Python   |        150 |        310 |        121 |        581 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/test_extract_data.py                                                                                                                  | Python   |        235 |         23 |        297 |        555 |
| /home/manodeep/projects/iit_bhilai_2025/llm_security/rep/webapp_plan.md                                                                                                                        | Markdown |         51 |          0 |         16 |         67 |
| Total                                                                                                                                                                                          |          |     67,638 |        971 |      1,230 |     69,839 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
